서울시기준일,서울시확진자,서울시추가확진
2021-05-31,43917,130
2021-05-30,43787,160
2021-05-29,43627,194
2021-05-28,43433,214
2021-05-27,43219,218
2021-05-26,43001,262
2021-05-25,42739,138
2021-05-24,42601,139
2021-05-23,42462,181
2021-05-22,42281,208
2021-05-21,42073,172
2021-05-20,41901,242
2021-05-19,41659,249
2021-05-18,41410,172
2021-05-17,41238,195
2021-05-16,41043,213
2021-05-15,40830,254
2021-05-14,40576,231
2021-05-13,40345,227
2021-05-12,40118,223
2021-05-11,39895,163
2021-05-10,39732,141
2021-05-09,39591,195
2021-05-08,39396,242
2021-05-07,39154,179
2021-05-06,38975,212
2021-05-05,38763,238
2021-05-04,38525,184
2021-05-03,38341,127
2021-05-02,38214,182
2021-05-01,38032,195
2021-04-30,37837,227
2021-04-29,37610,227
2021-04-28,37385,259
2021-04-27,37126,116
2021-04-26,37010,154
2021-04-25,36856,175
2021-04-24,36681,253
2021-04-23,36428,204
2021-04-22,36224,230
2021-04-21,35994,218
2021-04-20,35776,148
2021-04-19,35628,137
2021-04-18,35492,205
2021-04-17,35287,217
2021-04-16,35070,216
2021-04-15,34855,217
2021-04-14,34638,247
2021-04-13,34391,158
2021-04-12,34233,162
2021-04-11,34071,214
2021-04-10,33857,201
2021-04-09,33656,215
2021-04-08,33441,244
2021-04-07,33197,198
2021-04-06,32999,147
2021-04-05,32852,152
2021-04-04,32700,149
2021-04-03,32551,155
2021-04-02,32397,167
2021-04-01,32233,199
2021-03-31,32034,158
2021-03-30,31876,145
2021-03-29,31731,107
2021-03-28,31624,138
2021-03-27,31486,127
2021-03-26,31359,122
2021-03-25,31237,127
2021-03-24,31110,137
2021-03-23,30976,97
2021-03-22,30879,109
2021-03-21,30775,125
2021-03-20,30650,120
2021-03-19,30530,146
2021-03-18,30384,124
2021-03-17,30260,120
2021-03-16,30140,79
2021-03-15,30061,112
2021-03-14,29949,112
2021-03-13,29837,140
2021-03-12,29697,140
2021-03-11,29557,138
2021-03-10,29419,138
2021-03-09,29281,102
2021-03-08,29179,100
2021-03-07,29079,132
2021-03-06,28947,128
2021-03-05,28820,129
2021-03-04,28691,118
2021-03-03,28573,119
2021-03-02,28454,122
2021-03-01,28332,92
2021-02-28,28240,120
2021-02-27,28120,131
2021-02-26,27989,132
2021-02-25,27857,122
2021-02-24,27735,144
2021-02-23,27592,126
2021-02-22,27466,106
2021-02-21,27360,130
2021-02-20,27230,123
2021-02-19,27107,180
2021-02-18,26927,185
2021-02-17,26742,258
2021-02-16,26484,161
2021-02-15,26324,151
2021-02-14,26173,152
2021-02-13,26021,136
2021-02-12,25885,158
2021-02-11,25727,183
2021-02-10,25544,175
2021-02-09,25369,90
2021-02-08,25279,112
2021-02-07,25167,144
2021-02-06,25023,143
